CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-24,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-25,93,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-26,154,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-27,159,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-28,51,Moderate,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-29,105,Unhealthy for Sensitive Groups,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-30,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-31,177,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-01,107,Unhealthy for Sensitive Groups,SO2,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-02,77,Moderate,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-03,179,Unhealthy,Ozone,13-089-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-04,204,Very Unhealthy,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-05,93,Moderate,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-06,114,Unhealthy for Sensitive Groups,SO2,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-07,119,Unhealthy for Sensitive Groups,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-08,61,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-09,133,Unhealthy for Sensitive Groups,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-10,126,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-11,179,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-12,100,Moderate,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-13,119,Unhealthy for Sensitive Groups,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-14,172,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-15,217,Very Unhealthy,Ozone,13-247-0001,10
